tc,call_volume,aht,service_level,art
2022-12-02 21:45:00.000,33,208.75,80,30
2022-12-02 22:00:00.000,35,238.75,80,30
2022-12-02 22:15:00.000,32,225.25,80,30
2022-12-02 22:30:00.000,24,258.25,80,30
2022-12-02 22:45:00.000,18,183,80,30
2022-12-02 23:00:00.000,19,200,80,30
2022-12-02 23:15:00.000,16,144.5,80,30
2022-12-02 23:30:00.000,11,341.25,80,30
2022-12-02 23:45:00.000,12,254.75,80,30
2022-12-03 00:00:00.000,8,224.75,80,30
2022-12-03 00:15:00.000,6,175.25,80,30
2022-12-03 00:30:00.000,7,362.25,80,30
2022-12-03 00:45:00.000,6,209.5,80,30
2022-12-03 01:00:00.000,4,209.75,80,30
2022-12-03 01:15:00.000,5,147.5,80,30
2022-12-03 01:30:00.000,6,181.75,80,30
2022-12-03 01:45:00.000,8,194,80,30
2022-12-03 02:00:00.000,10,227,80,30
2022-12-03 02:15:00.000,7,184.25,80,30
2022-12-03 02:30:00.000,6,75.5,80,30
2022-12-03 02:45:00.000,9,209.5,80,30
2022-12-03 03:00:00.000,9,172.5,80,30
2022-12-03 03:15:00.000,11,201.25,80,30
2022-12-03 03:30:00.000,10,181,80,30
2022-12-03 03:45:00.000,12,150,80,30
2022-12-03 04:00:00.000,19,160,80,30
2022-12-03 04:15:00.000,17,150.75,80,30
2022-12-03 04:30:00.000,21,161.25,80,30
2022-12-03 04:45:00.000,18,162.25,80,30
2022-12-03 05:00:00.000,25,193.75,80,30
2022-12-03 05:15:00.000,28,161.75,80,30
2022-12-03 05:30:00.000,27,158.5,80,30
2022-12-03 05:45:00.000,32,189.75,80,30
2022-12-03 06:00:00.000,37,183.5,80,30
2022-12-03 06:15:00.000,37,193.25,80,30
2022-12-03 06:30:00.000,38,185,80,30
2022-12-03 06:45:00.000,41,202.25,80,30
2022-12-03 07:00:00.000,43,200,80,30
2022-12-03 07:15:00.000,49,188.75,80,30
2022-12-03 07:30:00.000,53,198.5,80,30
2022-12-03 07:45:00.000,58,222,80,30
2022-12-03 08:00:00.000,71,203,80,30
2022-12-03 08:15:00.000,76,207.5,80,30
2022-12-03 08:30:00.000,80,209.25,80,30
2022-12-03 08:45:00.000,85,195.75,80,30
2022-12-03 09:00:00.000,92,206.5,80,30
2022-12-03 09:15:00.000,101,204.25,80,30
2022-12-03 09:30:00.000,116,195.25,80,30
2022-12-03 09:45:00.000,123,213.25,80,30
2022-12-03 10:00:00.000,129,198,80,30
2022-12-03 10:15:00.000,132,207,80,30
2022-12-03 10:30:00.000,137,199.75,80,30
2022-12-03 10:45:00.000,137,221.25,80,30
2022-12-03 11:00:00.000,137,218.25,80,30
2022-12-03 11:15:00.000,139,217.25,80,30
2022-12-03 11:30:00.000,139,209,80,30
2022-12-03 11:45:00.000,135,210.25,80,30
2022-12-03 12:00:00.000,133,223,80,30
2022-12-03 12:15:00.000,130,210,80,30
2022-12-03 12:30:00.000,129,206.75,80,30
2022-12-03 12:45:00.000,124,203,80,30
2022-12-03 13:00:00.000,121,196.25,80,30
2022-12-03 13:15:00.000,118,210.75,80,30
2022-12-03 13:30:00.000,117,203.5,80,30
2022-12-03 13:45:00.000,107,224.75,80,30
2022-12-03 14:00:00.000,105,218.75,80,30
2022-12-03 14:15:00.000,105,230,80,30
2022-12-03 14:30:00.000,98,219.75,80,30
2022-12-03 14:45:00.000,95,221.5,80,30
2022-12-03 15:00:00.000,93,202.75,80,30
2022-12-03 15:15:00.000,91,221.75,80,30
2022-12-03 15:30:00.000,93,209.5,80,30
2022-12-03 15:45:00.000,90,202,80,30
2022-12-03 16:00:00.000,83,187.75,80,30
2022-12-03 16:15:00.000,82,203.5,80,30
2022-12-03 16:30:00.000,76,212.75,80,30
2022-12-03 16:45:00.000,78,213.5,80,30
2022-12-03 17:00:00.000,66,200,80,30
2022-12-03 17:15:00.000,63,192.75,80,30
2022-12-03 17:30:00.000,58,209.5,80,30
2022-12-03 17:45:00.000,55,198.5,80,30
2022-12-03 18:00:00.000,52,201.75,80,30
2022-12-03 18:15:00.000,55,189.5,80,30
2022-12-03 18:30:00.000,52,203,80,30
2022-12-03 18:45:00.000,44,196,80,30
2022-12-03 19:00:00.000,44,219.5,80,30
2022-12-03 19:15:00.000,36,189,80,30
2022-12-03 19:30:00.000,38,189.5,80,30
2022-12-03 19:45:00.000,33,177.5,80,30
2022-12-03 20:00:00.000,36,194.75,80,30
2022-12-03 20:15:00.000,29,211.5,80,30
2022-12-03 20:30:00.000,31,230.75,80,30
2022-12-03 20:45:00.000,27,217.75,80,30
2022-12-03 21:00:00.000,28,219,80,30
2022-12-03 21:15:00.000,24,179,80,30
2022-12-03 21:30:00.000,20,305.75,80,30
2022-12-03 21:45:00.000,18,184.25,80,30
2022-12-03 22:00:00.000,18,160.25,80,30
2022-12-03 22:15:00.000,15,176,80,30
2022-12-03 22:30:00.000,17,205,80,30
2022-12-03 22:45:00.000,13,175.25,80,30
2022-12-03 23:00:00.000,9,158.5,80,30
2022-12-03 23:15:00.000,10,124,80,30
2022-12-03 23:30:00.000,8,254.75,80,30
2022-12-03 23:45:00.000,8,191,80,30
2022-12-04 00:00:00.000,9,274.75,80,30
2022-12-04 00:15:00.000,7,246.5,80,30
2022-12-04 00:30:00.000,5,104.75,80,30
2022-12-04 00:45:00.000,6,217.25,80,30
2022-12-04 01:00:00.000,4,97.75,80,30
2022-12-04 01:15:00.000,3,91.5,80,30
2022-12-04 01:30:00.000,6,211.5,80,30
2022-12-04 01:45:00.000,6,101.5,80,30
2022-12-04 02:00:00.000,4,225,80,30
2022-12-04 02:15:00.000,7,196.75,80,30
2022-12-04 02:30:00.000,5,308.5,80,30
2022-12-04 02:45:00.000,6,206.75,80,30
2022-12-04 03:00:00.000,7,308.75,80,30
2022-12-04 03:15:00.000,6,167,80,30
2022-12-04 03:30:00.000,6,136.75,80,30
2022-12-04 03:45:00.000,7,158,80,30
2022-12-04 04:00:00.000,8,136.5,80,30
2022-12-04 04:15:00.000,11,137.5,80,30
2022-12-04 04:30:00.000,9,117,80,30
2022-12-04 04:45:00.000,12,148,80,30
2022-12-04 05:00:00.000,15,80.75,80,30
2022-12-04 05:15:00.000,12,135,80,30
2022-12-04 05:30:00.000,15,131.5,80,30
2022-12-04 05:45:00.000,14,142.25,80,30
2022-12-04 06:00:00.000,14,126.75,80,30
2022-12-04 06:15:00.000,23,179,80,30
2022-12-04 06:30:00.000,21,180,80,30
2022-12-04 06:45:00.000,21,173.25,80,30
2022-12-04 07:00:00.000,27,164.75,80,30
2022-12-04 07:15:00.000,29,145,80,30
2022-12-04 07:30:00.000,32,178.5,80,30
2022-12-04 07:45:00.000,33,178.5,80,30
2022-12-04 08:00:00.000,40,177.25,80,30
2022-12-04 08:15:00.000,38,184.75,80,30
2022-12-04 08:30:00.000,43,200.25,80,30
2022-12-04 08:45:00.000,45,199,80,30
2022-12-04 09:00:00.000,54,192.5,80,30
2022-12-04 09:15:00.000,60,193.25,80,30
2022-12-04 09:30:00.000,69,188,80,30
2022-12-04 09:45:00.000,66,183.25,80,30
2022-12-04 10:00:00.000,70,178.25,80,30
2022-12-04 10:15:00.000,75,194.5,80,30
2022-12-04 10:30:00.000,76,183.75,80,30
